,brand,item_name,min_price,max_price,min_product_size,max_product_size,store,product_size,unit,price,special_price,substitution,substitute_brand,substitute_productname,url
469,Tamar Valley,Greek Yoghurt,6.4,6.4,1000,1000,East Village,1000,g,8,6,,,,https://www.coles.com.au/product/tamar-valley-greek-yoghurt-1kg-2130299
470,Tamar Valley,Greek Yoghurt,6.4,6.4,1000,1000,Merrylands,1000,g,8,6,,,,https://www.coles.com.au/product/tamar-valley-greek-yoghurt-1kg-2130299
471,Tasti,Nut Bar Peanut Butter,5,5,420,420,East Village,180,g,6.9,4,1,Carman's,Protein Nut Butter Peanut Butter,https://www.coles.com.au/product/carman's-protein-nut-butter-peanut-butter-180g-4-pack-5153439
472,Tasti,Nut Bar Peanut Butter,5,5,420,420,Merrylands,180,g,6.9,4,1,Carman's,Protein Nut Butter Peanut Butter,https://www.coles.com.au/product/carman's-protein-nut-butter-peanut-butter-180g-4-pack-5153439
473,TCC,TCC Light Coconut Milk,1.5,1.5,400,400,East Village,400,ml,2.3,,,,,https://www.coles.com.au/product/tcc-light-coconut-milk-400ml-7054482
474,TCC,TCC Light Coconut Milk,1.5,1.5,400,400,Merrylands,400,ml,2.3,,,,,https://www.coles.com.au/product/tcc-light-coconut-milk-400ml-7054482
475,The Alternative Meat Co,Bean Supreme Black Bean Beetroot Burger 4 pack,8,8,340,340,East Village,250,g,7,6,1,Wildly Good,Beetroot & Black Bean Burgers,https://www.coles.com.au/product/wildly-good-beetroot-and-black-bean-burgers-250g-3516189
476,The Alternative Meat Co,Bean Supreme Black Bean Beetroot Burger 4 pack,8,8,340,340,Merrylands,250,g,7,6,1,Wildly Good,Beetroot & Black Bean Burgers,https://www.coles.com.au/product/wildly-good-beetroot-and-black-bean-burgers-250g-3516189
477,The Odd Bunch,Nectarine,2.3,2.3,1000,1000,East Village,,,,,,,,
478,The Odd Bunch,Nectarine,2.3,2.3,1000,1000,Merrylands,,,,,,,,
479,The Odd Bunch,Pear,3.5,3.5,1000,1000,East Village,1000,g,3.9,,1,Coles,Packham Pears,https://www.coles.com.au/product/coles-packham-pears-1kg-1-each-9006662
480,The Odd Bunch,Pear,3.5,3.5,1000,1000,Merrylands,1500,g,3.5,,1,Coles,I'M Perfect Pears Prepacked,https://www.coles.com.au/product/coles-i'm-perfect-pears-prepacked-1.5kg-5629266
481,Thirst busters,Fruit cup cordial,2.2,2.2,2000,2000,East Village,2000,ml,5,4,1,Golden Circle,Cordial Fruit Cup,https://www.coles.com.au/product/golden-circle-cordial-fruit-cup-cordial-2l-219245
482,Thirst busters,Fruit cup cordial,2.2,2.2,2000,2000,Merrylands,2000,ml,5,4,1,Golden Circle,Cordial Fruit Cup,https://www.coles.com.au/product/golden-circle-cordial-fruit-cup-cordial-2l-219245
483,Toscano,Traditional Butter Waffles 4 pack,5.5,5.5,360,360,East Village,360,g,7.5,,,,,https://www.coles.com.au/product/toscano-traditional-butter-waffles-4-pack-360g-8995056
