,brand,item_name,min_price,max_price,min_product_size,max_product_size,store,product_size,price,special_price,substitution,substitute_brand,substitute_productname
407,Woolworths,Pumpkin Kent,3.5,4,1000,1000,Auburn,1000,3.43,,,,
408,Woolworths,Pumpkin Kent,3.5,4,1000,1000,Burwood,1000,3.43,,,,
409,Woolworths,Red Washed baby Potato,3.5,3.5,1000,1000,Auburn,1000,3.8,,,,
410,Woolworths,Red Washed baby Potato,3.5,3.5,1000,1000,Burwood,1000,3.8,,,,
411,Woolworths,Red Washed Potato,7,7,2000,2000,Auburn,2000,4.5,,,,
412,Woolworths,Red Washed Potato,7,7,2000,2000,Burwood,2000,4.5,,,,
413,Woolworths,Rolled Traditional Oats,1.4,1.4,750,750,Auburn,750,1.4,,,,
414,Woolworths,Rolled Traditional Oats,1.4,1.4,750,750,Burwood,750,1.4,,,,
415,Woolworths,Salmon Lemon and Thyme,1.3,1.3,95,95,Auburn,95,1.1,,,,
416,Woolworths,Salmon Lemon and Thyme,1.3,1.3,95,95,Burwood,95,1.1,,,,
417,Woolworths,Salted Peanuts,2.3,2.3,375,375,Auburn,375,2.8,,,,
418,Woolworths,Salted Peanuts,2.3,2.3,375,375,Burwood,375,2.8,,,,
419,Woolworths,Sandwich Cheese Slices,10,10,1000,1000,Auburn,1000,12.5,,,,
420,Woolworths,Sandwich Cheese Slices,10,10,1000,1000,Burwood,1000,12.5,,,,
421,Woolworths,Skim Milk Powder,5.7,5.7,1000,1000,Auburn,1000,10,,,,
422,Woolworths,Skim Milk Powder,5.7,5.7,1000,1000,Burwood,1000,10,,,,
423,Woolworths,Smooth Peanut Butter,2.4,2.4,500,500,Auburn,500,4,,,,
424,Woolworths,Smooth Peanut Butter,2.4,2.4,500,500,Burwood,500,4,,,,
425,Woolworths,Snapz Original,1.5,1.5,250,250,Auburn,250,1.7,,,,
426,Woolworths,Snapz Original,1.5,1.5,250,250,Burwood,250,1.7,,,,
427,Woolworths,Sour Cream,2.1,2.1,300,300,Auburn,300,3.25,,,,
428,Woolworths,Sour Cream,2.1,2.1,300,300,Burwood,300,3.25,,,,
